id,title,slug,url,date,modified,word_count,h2,images,has_faq,priority,action,flags,reasons
3182,شركة تسليك مجاري في الدوحة,sewerage-company-in-doha,https://www.rukn-eltatawer.com/qa/sewerage-company-in-doha/,2026-03-14,2026-03-16,2270,5,1,لا,حرجة,إعادة كتابة أو دمج مع صفحة قطر,typo,خطأ إملائي إنجليزي Exmaple، لا أزرار اتصال/واتساب، يكرر نية تسليك المجاري؛ تعارض كلمات مفتاحية مع المقال #10377: تسليك مجاري قطر مقابل الدوحة
10370,شراء أثاث مستعمل في قطر,shra-athath-mstaml-fy-qtr,https://www.rukn-eltatawer.com/qa/shra-athath-mstaml-fy-qtr/,2026-03-24,2026-08-14,476,7,0,نعم,حرجة,استبدال المحتوى أو حذف,قصير | بدون-صور,خدمة شراء مستعمل/سكراب/تخزين غير مذكورة في عرض الصفحة الرئيسية؛ محتوى قصير (~400 كلمة) وقالب بيع
10372,شراء أجهزة كهربائية مستعملة في قطر,shra-ajhzh-khrbayyh-mstamlh-fy-qtr,https://www.rukn-eltatawer.com/qa/shra-ajhzh-khrbayyh-mstamlh-fy-qtr/,2026-03-24,2026-08-14,429,7,0,نعم,حرجة,استبدال المحتوى أو حذف,قصير | بدون-صور,خدمة شراء مستعمل/سكراب/تخزين غير مذكورة في عرض الصفحة الرئيسية؛ محتوى قصير (~400 كلمة) وقالب بيع
10373,شراء سكراب في قطر,shra-skrab-fy-qtr,https://www.rukn-eltatawer.com/qa/shra-skrab-fy-qtr/,2026-03-24,2026-08-14,457,7,0,نعم,حرجة,استبدال المحتوى أو حذف,قصير | بدون-صور,خدمة شراء مستعمل/سكراب/تخزين غير مذكورة في عرض الصفحة الرئيسية؛ محتوى قصير (~400 كلمة) وقالب بيع
10374,شراء معدات مطاعم مستعملة في قطر,shra-madat-mtaam-mstamlh-fy-qtr,https://www.rukn-eltatawer.com/qa/shra-madat-mtaam-mstamlh-fy-qtr/,2026-03-24,2026-08-14,469,7,0,نعم,حرجة,استبدال المحتوى أو حذف,قصير | بدون-صور,خدمة شراء مستعمل/سكراب/تخزين غير مذكورة في عرض الصفحة الرئيسية؛ محتوى قصير (~400 كلمة) وقالب بيع
10371,شراء مكيفات مستعملة في قطر,shra-mkyfat-mstamlh-fy-qtr,https://www.rukn-eltatawer.com/qa/shra-mkyfat-mstamlh-fy-qtr/,2026-03-24,2026-08-14,466,7,0,نعم,حرجة,استبدال المحتوى أو حذف,قصير | بدون-صور,خدمة شراء مستعمل/سكراب/تخزين غير مذكورة في عرض الصفحة الرئيسية؛ محتوى قصير (~400 كلمة) وقالب بيع
10368,شركة تخزين أثاث في قطر,shrkh-tkhzyn-athath-fy-qtr,https://www.rukn-eltatawer.com/qa/shrkh-tkhzyn-athath-fy-qtr/,2026-03-24,2026-08-14,433,6,0,نعم,حرجة,استبدال المحتوى أو حذف,قصير | بدون-صور | slug-رومنة,خدمة شراء مستعمل/سكراب/تخزين غير مذكورة في عرض الصفحة الرئيسية؛ محتوى قصير (~400 كلمة) وقالب بيع
10369,شركة تخزين بضائع في قطر,shrkh-tkhzyn-bdaya-fy-qtr,https://www.rukn-eltatawer.com/qa/shrkh-tkhzyn-bdaya-fy-qtr/,2026-03-24,2026-08-14,418,6,0,نعم,حرجة,استبدال المحتوى أو حذف,قصير | بدون-صور | slug-رومنة,خدمة شراء مستعمل/سكراب/تخزين غير مذكورة في عرض الصفحة الرئيسية؛ محتوى قصير (~400 كلمة) وقالب بيع
2973,شركة كشف تسربات المياه في قطر,water-leak-detection-company-in-qatar,https://www.rukn-eltatawer.com/qa/water-leak-detection-company-in-qatar/,2026-03-14,2026-04-19,4127,15,2,نعم,حرجة,تحديث جوهري (لا تستبدله بقالب),,مقال العلم/الخدمة الأهم في الموقع — محتوى أفضل من القوالب لكن حشو كلمات وادعاءات مبالغ فيها وشهادات غير موثّقة؛ حشو عبارة العنوان، H1 مكرر، نفس صورة الصرف الصحي مكررة، نبرة «الأفضل/الوحيد»
7391,مكتب استقدام في قطر,recruitment-in-qatar,https://www.rukn-eltatawer.com/qa/recruitment-in-qatar/,2026-03-14,2026-04-27,2124,8,0,لا,حرجة,حذف أو noindex ثم استبدال,بدون-صور,مكتب استقدام — خارج نشاط الشركة تماماً ويضر بالثقة والسيو
