id,status,title,slug,url,word_count,date,modified,action,priority,reasons
12868,publish,AC maintenance in Doha and Qatar,ac-maintenance-qatar-en,https://www.rukn-eltatawer.com/qa/en/ac-maintenance-qatar-en/,129,2026-09-02,2026-09-09,استبدال المحتوى,حرجة,شورت كود غير مكتمل [post_features/steps/prices/services/call] | محتوى رفيع (129 كلمة) | نسخة إنجليزية ناقصة ومختلطة عربي/إنجليزي؛ ظاهرة على الصفحة الرئيسية كدليل
12867,publish,Roof insulation in Qatar,roof-insulation-qatar-en,https://www.rukn-eltatawer.com/qa/en/roof-insulation-qatar-en/,135,2026-09-02,2026-09-09,استبدال المحتوى,حرجة,شورت كود غير مكتمل [post_features/steps/prices/services/call] | محتوى رفيع (135 كلمة) | نسخة إنجليزية ناقصة ومختلطة عربي/إنجليزي؛ ظاهرة على الصفحة الرئيسية كدليل
12866,publish,Water leak detection in Qatar without breaking,water-leak-detection-qatar-en,https://www.rukn-eltatawer.com/qa/en/water-leak-detection-qatar-en/,130,2026-09-02,2026-09-09,استبدال المحتوى,حرجة,شورت كود غير مكتمل [post_features/steps/prices/services/call] | محتوى رفيع (130 كلمة) | نسخة إنجليزية ناقصة ومختلطة عربي/إنجليزي؛ ظاهرة على الصفحة الرئيسية كدليل
10439,publish,حدادة أبواب ونوافذ في قطر,hdadh-abwab-wnwafdh-fy-qtr,https://www.rukn-eltatawer.com/qa/hdadh-abwab-wnwafdh-fy-qtr/,354,2026-03-24,2026-09-09,إعادة كتابة كاملة,عالية,شورت كود غير مكتمل [post_features/steps/prices/services/call] | فقرة تحذير موحّدة عن التسربات لا تناسب موضوع المقال | قالب مكرر (نفس الهيكل في 135 مقالاً) | محتوى رفيع (354 كلمة)
10293,publish,سباك منازل في قطر,home-plumber-in-qatar,https://www.rukn-eltatawer.com/qa/home-plumber-in-qatar/,379,2026-03-18,2026-09-09,إعادة كتابة كاملة,عالية,شورت كود غير مكتمل [post_features/steps/prices/services/call] | فقرة تحذير موحّدة عن التسربات لا تناسب موضوع المقال | قالب مكرر (نفس الهيكل في 135 مقالاً) | محتوى رفيع (379 كلمة)
10370,publish,شراء أثاث مستعمل في قطر,shra-athath-mstaml-fy-qtr,https://www.rukn-eltatawer.com/qa/shra-athath-mstaml-fy-qtr/,448,2026-09-15,2026-09-15,استبدال أو إلغاء نشر,متوسطة,محتوى رفيع (448 كلمة) | موضوع شراء مستعمل/تخزين/سكراب يشتت هوية خدمات المنزل
10372,publish,شراء أجهزة كهربائية مستعملة في قطر,shra-ajhzh-khrbayyh-mstamlh-fy-qtr,https://www.rukn-eltatawer.com/qa/shra-ajhzh-khrbayyh-mstamlh-fy-qtr/,404,2026-09-15,2026-09-15,استبدال أو إلغاء نشر,متوسطة,محتوى رفيع (404 كلمة) | موضوع شراء مستعمل/تخزين/سكراب يشتت هوية خدمات المنزل
10373,publish,شراء سكراب في قطر,shra-skrab-fy-qtr,https://www.rukn-eltatawer.com/qa/shra-skrab-fy-qtr/,428,2026-09-15,2026-09-15,استبدال أو إلغاء نشر,متوسطة,محتوى رفيع (428 كلمة) | موضوع شراء مستعمل/تخزين/سكراب يشتت هوية خدمات المنزل
10374,publish,شراء معدات مطاعم مستعملة في قطر,shra-madat-mtaam-mstamlh-fy-qtr,https://www.rukn-eltatawer.com/qa/shra-madat-mtaam-mstamlh-fy-qtr/,440,2026-09-15,2026-09-15,استبدال أو إلغاء نشر,متوسطة,محتوى رفيع (440 كلمة) | موضوع شراء مستعمل/تخزين/سكراب يشتت هوية خدمات المنزل
10371,publish,شراء مكيفات مستعملة في قطر,shra-mkyfat-mstamlh-fy-qtr,https://www.rukn-eltatawer.com/qa/shra-mkyfat-mstamlh-fy-qtr/,438,2026-09-15,2026-09-15,استبدال أو إلغاء نشر,متوسطة,محتوى رفيع (438 كلمة) | موضوع شراء مستعمل/تخزين/سكراب يشتت هوية خدمات المنزل
10451,publish,شركة إنشاء مسابح في قطر,shrkh-ansha-msabh-fy-qtr,https://www.rukn-eltatawer.com/qa/shrkh-ansha-msabh-fy-qtr/,382,2026-03-24,2026-09-09,إعادة كتابة كاملة,عالية,شورت كود غير مكتمل [post_features/steps/prices/services/call] | فقرة تحذير موحّدة عن التسربات لا تناسب موضوع المقال | قالب مكرر (نفس الهيكل في 135 مقالاً) | محتوى رفيع (382 كلمة)
10412,publish,شركة بناء استراحات في قطر,shrkh-bna-astrahat-fy-qtr,https://www.rukn-eltatawer.com/qa/shrkh-bna-astrahat-fy-qtr/,374,2026-03-24,2026-09-09,إعادة كتابة كاملة,عالية,شورت كود غير مكتمل [post_features/steps/prices/services/call] | فقرة تحذير موحّدة عن التسربات لا تناسب موضوع المقال | قالب مكرر (نفس الهيكل في 135 مقالاً) | محتوى رفيع (374 كلمة)
10411,publish,شركة بناء مجالس في قطر,shrkh-bna-mjals-fy-qtr,https://www.rukn-eltatawer.com/qa/shrkh-bna-mjals-fy-qtr/,374,2026-03-24,2026-09-09,إعادة كتابة كاملة,عالية,شورت كود غير مكتمل [post_features/steps/prices/services/call] | فقرة تحذير موحّدة عن التسربات لا تناسب موضوع المقال | قالب مكرر (نفس الهيكل في 135 مقالاً) | محتوى رفيع (374 كلمة)
10410,publish,شركة بناء ملاحق في قطر,shrkh-bna-mlahq-fy-qtr,https://www.rukn-eltatawer.com/qa/shrkh-bna-mlahq-fy-qtr/,374,2026-03-24,2026-09-09,إعادة كتابة كاملة,عالية,شورت كود غير مكتمل [post_features/steps/prices/services/call] | فقرة تحذير موحّدة عن التسربات لا تناسب موضوع المقال | قالب مكرر (نفس الهيكل في 135 مقالاً) | محتوى رفيع (374 كلمة)
10376,publish,شركة تأسيس سباكة في قطر,shrkh-tasys-sbakh-fy-qtr,https://www.rukn-eltatawer.com/qa/shrkh-tasys-sbakh-fy-qtr/,388,2026-03-24,2026-09-09,إعادة كتابة كاملة,عالية,شورت كود غير مكتمل [post_features/steps/prices/services/call] | فقرة تحذير موحّدة عن التسربات لا تناسب موضوع المقال | قالب مكرر (نفس الهيكل في 135 مقالاً) | محتوى رفيع (388 كلمة)
10399,publish,شركة تأسيس كهرباء في قطر,shrkh-tasys-khrba-fy-qtr,https://www.rukn-eltatawer.com/qa/shrkh-tasys-khrba-fy-qtr/,377,2026-03-24,2026-09-09,إعادة كتابة كاملة,عالية,شورت كود غير مكتمل [post_features/steps/prices/services/call] | فقرة تحذير موحّدة عن التسربات لا تناسب موضوع المقال | قالب مكرر (نفس الهيكل في 135 مقالاً) | محتوى رفيع (377 كلمة)
10368,publish,شركة تخزين أثاث في قطر,shrkh-tkhzyn-athath-fy-qtr,https://www.rukn-eltatawer.com/qa/shrkh-tkhzyn-athath-fy-qtr/,409,2026-09-16,2026-09-16,استبدال أو إلغاء نشر,متوسطة,محتوى رفيع (409 كلمة) | موضوع شراء مستعمل/تخزين/سكراب يشتت هوية خدمات المنزل
10369,publish,شركة تخزين بضائع في قطر,shrkh-tkhzyn-bdaya-fy-qtr,https://www.rukn-eltatawer.com/qa/shrkh-tkhzyn-bdaya-fy-qtr/,394,2026-09-15,2026-09-15,استبدال أو إلغاء نشر,متوسطة,محتوى رفيع (394 كلمة) | موضوع شراء مستعمل/تخزين/سكراب يشتت هوية خدمات المنزل
10404,publish,شركة تركيب أجهزة إنذار حريق في قطر,shrkh-trkyb-ajhzh-andhar-hryq-fy-qtr,https://www.rukn-eltatawer.com/qa/shrkh-trkyb-ajhzh-andhar-hryq-fy-qtr/,370,2026-03-24,2026-09-09,إعادة كتابة كاملة,عالية,شورت كود غير مكتمل [post_features/steps/prices/services/call] | فقرة تحذير موحّدة عن التسربات لا تناسب موضوع المقال | قالب مكرر (نفس الهيكل في 135 مقالاً) | محتوى رفيع (370 كلمة)
10429,publish,شركة تركيب أرضيات إيبوكسي في قطر,shrkh-trkyb-ardyat-aybwksy-fy-qtr,https://www.rukn-eltatawer.com/qa/shrkh-trkyb-ardyat-aybwksy-fy-qtr/,382,2026-03-24,2026-09-09,إعادة كتابة كاملة,عالية,شورت كود غير مكتمل [post_features/steps/prices/services/call] | فقرة تحذير موحّدة عن التسربات لا تناسب موضوع المقال | قالب مكرر (نفس الهيكل في 135 مقالاً) | محتوى رفيع (382 كلمة)
10424,publish,شركة تركيب أسقف مستعارة في قطر,shrkh-trkyb-asqf-mstaarh-fy-qtr,https://www.rukn-eltatawer.com/qa/shrkh-trkyb-asqf-mstaarh-fy-qtr/,387,2026-03-24,2026-09-09,إعادة كتابة كاملة,عالية,شورت كود غير مكتمل [post_features/steps/prices/services/call] | فقرة تحذير موحّدة عن التسربات لا تناسب موضوع المقال | قالب مكرر (نفس الهيكل في 135 مقالاً) | محتوى رفيع (387 كلمة)
10435,publish,شركة تركيب ألومنيوم في قطر,shrkh-trkyb-alwmnywm-fy-qtr,https://www.rukn-eltatawer.com/qa/shrkh-trkyb-alwmnywm-fy-qtr/,346,2026-03-24,2026-09-09,إعادة كتابة كاملة,عالية,شورت كود غير مكتمل [post_features/steps/prices/services/call] | فقرة تحذير موحّدة عن التسربات لا تناسب موضوع المقال | قالب مكرر (نفس الهيكل في 135 مقالاً) | محتوى رفيع (346 كلمة)
