task,id,type,slug,url,reason,result
"1_oos",10374,"post","shra-madat-mtaam-mstamlh-fy-qtr","https://www.rukn-eltatawer.com/qa/shra-madat-mtaam-mstamlh-fy-qtr/","out-of-scope term in title/slug (شراء معدات مطاعم مستعملة في قطر)","dry-run"
"1_oos",10373,"post","shra-skrab-fy-qtr","https://www.rukn-eltatawer.com/qa/shra-skrab-fy-qtr/","out-of-scope term in title/slug (شراء سكراب في قطر)","dry-run"
"1_oos",10372,"post","shra-ajhzh-khrbayyh-mstamlh-fy-qtr","https://www.rukn-eltatawer.com/qa/shra-ajhzh-khrbayyh-mstamlh-fy-qtr/","out-of-scope term in title/slug (شراء أجهزة كهربائية مستعملة في قطر)","dry-run"
"1_oos",10371,"post","shra-mkyfat-mstamlh-fy-qtr","https://www.rukn-eltatawer.com/qa/shra-mkyfat-mstamlh-fy-qtr/","out-of-scope term in title/slug (شراء مكيفات مستعملة في قطر)","dry-run"
"1_oos",10370,"post","shra-athath-mstaml-fy-qtr","https://www.rukn-eltatawer.com/qa/shra-athath-mstaml-fy-qtr/","out-of-scope term in title/slug (شراء أثاث مستعمل في قطر)","dry-run"
"1_oos",7391,"post","recruitment-in-qatar","https://www.rukn-eltatawer.com/qa/recruitment-in-qatar/","out-of-scope term in title/slug (مكتب استقدام في قطر)","dry-run"
"1_cpt",1876,"services","sound-insulation-installation","https://www.rukn-eltatawer.com/qa/services/sound-insulation-installation/","thin CPT (139 words) cannibalizes /shrkh-azl-swty-fy-qtr/","dry-run"
"1_cpt",1877,"services","water-leak-detection","https://www.rukn-eltatawer.com/qa/services/water-leak-detection/","thin CPT (42 words) cannibalizes /water-leak-detection-company-in-qatar/","dry-run"
"2_pillar",2973,"post","water-leak-detection-company-in-qatar","https://www.rukn-eltatawer.com/qa/water-leak-detection-company-in-qatar/","downgrade 1 H1, unwrap 1 tel: links [LOCKED #2973]","BLOCKED_BY_SNIPPET5"
"2_pillar",10357,"post","shrkh-mkafhh-srasyr-fy-qtr","https://www.rukn-eltatawer.com/qa/shrkh-mkafhh-srasyr-fy-qtr/","downgrade 0 H1, unwrap 2 tel: links","dry-run"
"2_pillar",10334,"post","shrkh-tnzyf-mnazl-fy-qtr-2","https://www.rukn-eltatawer.com/qa/shrkh-tnzyf-mnazl-fy-qtr-2/","downgrade 0 H1, unwrap 2 tel: links","dry-run"
"3_mesh",17411,"post","sewerage-company-in-al-shahaniya","https://www.rukn-eltatawer.com/qa/sewerage-company-in-al-shahaniya/","mesh 5 city-peers + 5 city-variants","dry-run"
"3_mesh",17410,"post","sewerage-company-in-al-shamal","https://www.rukn-eltatawer.com/qa/sewerage-company-in-al-shamal/","mesh 5 city-peers + 5 city-variants","dry-run"
"3_mesh",17409,"post","sewerage-company-in-al-daayen","https://www.rukn-eltatawer.com/qa/sewerage-company-in-al-daayen/","mesh 5 city-peers + 5 city-variants","dry-run"
"3_mesh",17408,"post","sewerage-company-in-umm-salal","https://www.rukn-eltatawer.com/qa/sewerage-company-in-umm-salal/","mesh 5 city-peers + 5 city-variants","dry-run"
"3_mesh",17407,"post","sewerage-company-in-al-khor","https://www.rukn-eltatawer.com/qa/sewerage-company-in-al-khor/","mesh 5 city-peers + 5 city-variants","dry-run"
"3_mesh",17406,"post","sewerage-company-in-al-wakrah","https://www.rukn-eltatawer.com/qa/sewerage-company-in-al-wakrah/","mesh 5 city-peers + 5 city-variants","dry-run"
"3_mesh",17405,"post","sewerage-company-in-al-rayyan","https://www.rukn-eltatawer.com/qa/sewerage-company-in-al-rayyan/","mesh 5 city-peers + 5 city-variants","dry-run"
"3_mesh",17404,"post","ac-periodic-maintenance-contracts-lusail","https://www.rukn-eltatawer.com/qa/ac-periodic-maintenance-contracts-lusail/","mesh 5 city-peers + 5 city-variants","dry-run"
"3_mesh",17403,"post","commercial-refrigeration-maintenance-lusail","https://www.rukn-eltatawer.com/qa/commercial-refrigeration-maintenance-lusail/","mesh 5 city-peers + 5 city-variants","dry-run"
