id,type,title,url,slug,word_count,severity,issues,notes,city,service_stem,kind_title,kind_body,is_city_grid,h1_in_body,h2,h3,heading_skeleton_hash,template_cluster_size,cannibal_group_size,unique_token_ratio,similar_to,similar_hamming,images,images_no_alt,internal_links_in_body,placeholders,rank_seo_score,rank_orphan,rank_incoming_links,rank_internal_links,live_http,live_h1_count,live_h1,meta_description_len,canonical,noindex
2453,page,المدونة,https://www.rukn-eltatawer.com/qa/blog/,blog,32,حرجة,critical_thin|no_h1_in_body,محتوى هزيل جداً (32 كلمة) ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),,blog,general,leak,0,0,0,0,no-headings,5,1,0.968,,,0,0,0,,50,True,0,0,200,1,المدونة,160,https://www.rukn-eltatawer.com/qa/blog/,0
1877,services,كشف تسربات المياه,https://www.rukn-eltatawer.com/qa/services/water-leak-detection/,water-leak-detection,42,حرجة,critical_thin|keyword_cannibalization|no_h1_in_body|noindex|missing_canonical,محتوى هزيل جداً (42 كلمة) ؛ نفس جذع الخدمة `water-leak-detection` على 10 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب) ؛ robots noindex على الصفحة الحية,,water-leak-detection,leak,leak,0,0,0,0,no-headings,5,10,0.825,,,0,0,1,,0,True,0,1,200,1,كشف تسربات المياه,239,,1
7465,page,المدن,https://www.rukn-eltatawer.com/qa/cities/,cities,55,حرجة,critical_thin|no_h1_in_body,محتوى هزيل جداً (55 كلمة) ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),,cities,general,leak,0,0,1,0,34417aaee088,1,1,0.58,,,0,0,10,,10,False,187,10,200,1,المدن,160,https://www.rukn-eltatawer.com/qa/cities/,0
7463,page,الخدمات,https://www.rukn-eltatawer.com/qa/services/,services,62,حرجة,critical_thin|no_h1_in_body,محتوى هزيل جداً (62 كلمة) ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),,services,general,plumb,0,0,0,0,no-headings,5,1,0.836,,,0,0,9,,8,True,0,9,200,1,الخدمات,159,https://www.rukn-eltatawer.com/qa/services/,0
7462,page,سياسة الخصوصية,https://www.rukn-eltatawer.com/qa/privacy-policy/,privacy-policy,88,حرجة,critical_thin|no_h1_in_body|no_internal_links_in_body,محتوى هزيل جداً (88 كلمة) ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب) ؛ لا روابط داخلية في الجسم,,privacy-policy,general,general,0,0,3,0,b69d6803ba3b,1,1,0.779,,,0,0,0,,63,True,0,0,200,1,سياسة الخصوصية,111,https://www.rukn-eltatawer.com/qa/privacy-policy/,0
7461,page,اتصل بنا,https://www.rukn-eltatawer.com/qa/contact-us/,contact-us,92,حرجة,critical_thin|missing_h2_h3|no_h1_in_body,محتوى هزيل جداً (92 كلمة) ؛ لا توجد عناوين H2/H3 داخل المحتوى ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),,contact-us,general,leak,0,0,0,0,no-headings,5,1,0.82,,,0,0,1,,10,False,7,1,200,1,اتصل بنا,61,https://www.rukn-eltatawer.com/qa/contact-us/,0
7464,page,الأسعار,https://www.rukn-eltatawer.com/qa/as3ar/,as3ar,94,حرجة,critical_thin|no_h1_in_body,محتوى هزيل جداً (94 كلمة) ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),,as3ar,general,leak,0,0,1,0,d69054c28ef7,1,1,0.902,,,0,0,1,,10,False,1,1,200,1,الأسعار,90,https://www.rukn-eltatawer.com/qa/as3ar/,0
8990,page,Contact,https://www.rukn-eltatawer.com/qa/contact-us-2/,contact-us-2,98,حرجة,critical_thin|missing_h2_h3|no_h1_in_body,محتوى هزيل جداً (98 كلمة) ؛ لا توجد عناوين H2/H3 داخل المحتوى ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),,contact-us-2,general,leak,0,0,0,0,no-headings,5,1,0.725,,,0,0,1,,10,True,0,1,200,1,Contact,159,https://www.rukn-eltatawer.com/qa/contact-us-2/,0
7458,page,خريطة الموقع,https://www.rukn-eltatawer.com/qa/sitemap/,sitemap,114,حرجة,critical_thin|multiple_h1,محتوى هزيل جداً (114 كلمة) ؛ 2 عناوين H1,,sitemap,general,pest,0,1,3,0,ee6faef4ff8b,1,1,0.816,,,0,0,11,,17,True,0,11,200,2,خريطة الموقع | 🗺️ خريطة الموقع – ركن التطور للخدمات المنزلية,111,https://www.rukn-eltatawer.com/qa/sitemap/,0
7467,page,الأسئلة الشائعة,https://www.rukn-eltatawer.com/qa/faq/,faq,138,حرجة,critical_thin|no_h1_in_body,محتوى هزيل جداً (138 كلمة) ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),,faq,general,leak,0,0,5,0,ebbf45bcea29,1,1,0.637,,,0,0,2,,10,True,0,2,200,1,الأسئلة الشائعة,160,https://www.rukn-eltatawer.com/qa/faq/,0
1876,services,عازل الصوت,https://www.rukn-eltatawer.com/qa/services/sound-insulation-installation/,sound-insulation-installation,139,حرجة,critical_thin|local_doorway_variant|no_h1_in_body,محتوى هزيل جداً (139 كلمة) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),,sound-insulation-installation,insulate,ac,1,0,3,0,7439fcadc979,1,1,0.804,,,0,0,1,,0,False,1,1,,,,,,0
7460,page,من نحن,https://www.rukn-eltatawer.com/qa/about/,about,141,حرجة,critical_thin|no_h1_in_body,محتوى هزيل جداً (141 كلمة) ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),,about,general,leak,0,0,1,0,d8700128c1ae,1,1,0.799,,,0,0,1,,9,True,0,1,200,1,من نحن,160,https://www.rukn-eltatawer.com/qa/about/,0
12868,post,AC maintenance in Doha and Qatar,https://www.rukn-eltatawer.com/qa/en/ac-maintenance-qatar-en/,ac-maintenance-qatar-en,176,حرجة,critical_thin|no_h1_in_body,محتوى هزيل جداً (176 كلمة) ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),,ac-maintenance-qatar-en,general,plumb,0,0,4,0,6c459246bbc1,1,1,0.633,,,0,0,1,,0,True,0,1,200,1,AC maintenance in Doha and Qatar,121,https://www.rukn-eltatawer.com/qa/en/ac-maintenance-qatar-en/,0
12867,post,Roof insulation in Qatar,https://www.rukn-eltatawer.com/qa/en/roof-insulation-qatar-en/,roof-insulation-qatar-en,181,حرجة,critical_thin|no_h1_in_body,محتوى هزيل جداً (181 كلمة) ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),,roof-insulation-qatar-en,insulate,insulate,0,0,4,0,7ac63a3cc42c,1,1,0.615,,,0,0,1,,0,True,0,1,200,1,Roof insulation in Qatar,104,https://www.rukn-eltatawer.com/qa/en/roof-insulation-qatar-en/,0
12410,post,عامل دهانات في الشمال,https://www.rukn-eltatawer.com/qa/painter-al-shamal/,painter-al-shamal,200,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (200 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `painter` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-shamal,painter,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.568,https://www.rukn-eltatawer.com/qa/gypsum-tech-al-shamal/ ; https://www.rukn-eltatawer.com/qa/villa-painting-al-shamal/ ; https://www.rukn-eltatawer.com/qa/exterior-facade-painting-al-shamal/,2,0,0,1,,0,True,0,0,,,,,,0
12003,post,شركة دهانات خارجية في الظعاين,https://www.rukn-eltatawer.com/qa/exterior-painting-al-daayen/,exterior-painting-al-daayen,200,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (200 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `exterior-painting` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-daayen,exterior-painting,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.6,https://www.rukn-eltatawer.com/qa/apartment-painting-al-daayen/ ; https://www.rukn-eltatawer.com/qa/villa-painting-al-daayen/ ; https://www.rukn-eltatawer.com/qa/exterior-facade-painting-al-daayen/,0,0,0,1,,0,True,0,0,,,,,,0
12419,post,فني جبس بورد في الظعاين,https://www.rukn-eltatawer.com/qa/gypsum-tech-al-daayen/,gypsum-tech-al-daayen,200,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (200 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `gypsum-tech` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-daayen,gypsum-tech,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.6,https://www.rukn-eltatawer.com/qa/decor-design-al-daayen/ ; https://www.rukn-eltatawer.com/qa/wall-foam-al-daayen/ ; https://www.rukn-eltatawer.com/qa/wallpaper-al-daayen/,0,0,0,1,,0,True,0,0,,,,,,0
12539,post,شركة دهان شقق في الظعاين,https://www.rukn-eltatawer.com/qa/apartment-painting-al-daayen/,apartment-painting-al-daayen,200,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (200 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `apartment-painting` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-daayen,apartment-painting,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.595,https://www.rukn-eltatawer.com/qa/exterior-painting-al-daayen/ ; https://www.rukn-eltatawer.com/qa/villa-painting-al-daayen/ ; https://www.rukn-eltatawer.com/qa/exterior-facade-painting-al-daayen/,0,0,0,1,,0,True,0,0,,,,,,0
