title,url,word_count,problem_category,notes
شركة تسليك مجاري في الشحانية,https://www.rukn-eltatawer.com/qa/sewerage-company-in-al-shahaniya/,230,"critical_thin,template_boilerplate,local_doorway_variant,city_variant_similar,keyword_cannibalization,no_h1_in_body",محتوى هزيل جداً (230 كلمة) ؛ نفس الهيكل العناوين في 905 صفحة (hash cb24e6f8b3f9) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `sewerage-company-in` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب)
شركة تسليك مجاري في الشمال,https://www.rukn-eltatawer.com/qa/sewerage-company-in-al-shamal/,231,"critical_thin,template_boilerplate,local_doorway_variant,city_variant_similar,keyword_cannibalization,no_h1_in_body",محتوى هزيل جداً (231 كلمة) ؛ نفس الهيكل العناوين في 905 صفحة (hash cb24e6f8b3f9) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `sewerage-company-in` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب)
شركة تسليك مجاري في الظعاين,https://www.rukn-eltatawer.com/qa/sewerage-company-in-al-daayen/,216,"critical_thin,template_boilerplate,local_doorway_variant,city_variant_similar,keyword_cannibalization,no_h1_in_body",محتوى هزيل جداً (216 كلمة) ؛ نفس الهيكل العناوين في 905 صفحة (hash cb24e6f8b3f9) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `sewerage-company-in` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب)
شركة تسليك مجاري في أم صلال والخيسة,https://www.rukn-eltatawer.com/qa/sewerage-company-in-umm-salal/,243,"critical_thin,template_boilerplate,local_doorway_variant,city_variant_similar,keyword_cannibalization,no_h1_in_body",محتوى هزيل جداً (243 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `sewerage-company-in` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب)
شركة تسليك مجاري في الخور,https://www.rukn-eltatawer.com/qa/sewerage-company-in-al-khor/,223,"critical_thin,template_boilerplate,local_doorway_variant,city_variant_similar,keyword_cannibalization,no_h1_in_body",محتوى هزيل جداً (223 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `sewerage-company-in` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب)
شركة تسليك مجاري في الوكرة,https://www.rukn-eltatawer.com/qa/sewerage-company-in-al-wakrah/,214,"critical_thin,template_boilerplate,local_doorway_variant,keyword_cannibalization,no_h1_in_body",محتوى هزيل جداً (214 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `sewerage-company-in` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب)
شركة تسليك مجاري في الريان,https://www.rukn-eltatawer.com/qa/sewerage-company-in-al-rayyan/,229,"critical_thin,template_boilerplate,local_doorway_variant,city_variant_similar,keyword_cannibalization,no_h1_in_body",محتوى هزيل جداً (229 كلمة) ؛ نفس الهيكل العناوين في 905 صفحة (hash cb24e6f8b3f9) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `sewerage-company-in` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب)
شركة عقود صيانة تكييف دورية في لوسيل,https://www.rukn-eltatawer.com/qa/ac-periodic-maintenance-contracts-lusail/,239,"critical_thin,template_boilerplate,local_doorway_variant,city_variant_similar,keyword_cannibalization,no_h1_in_body",محتوى هزيل جداً (239 كلمة) ؛ نفس الهيكل العناوين في 905 صفحة (hash cb24e6f8b3f9) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `ac-periodic-maintenance-contracts` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب)
شركة صيانة ثلاجات وتبريد تجاري في لوسيل,https://www.rukn-eltatawer.com/qa/commercial-refrigeration-maintenance-lusail/,246,"critical_thin,template_boilerplate,local_doorway_variant,keyword_cannibalization,no_h1_in_body",محتوى هزيل جداً (246 كلمة) ؛ نفس الهيكل العناوين في 905 صفحة (hash cb24e6f8b3f9) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `commercial-refrigeration-maintenance` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب)
شركة كشف أعطال تبريد في لوسيل,https://www.rukn-eltatawer.com/qa/cooling-fault-detection-lusail/,221,"critical_thin,template_boilerplate,local_doorway_variant,city_variant_similar,keyword_cannibalization,no_h1_in_body",محتوى هزيل جداً (221 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `cooling-fault-detection` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب)
